epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,3867.86,0.75445,0.42735,0.91244,0.9331,0.90209,0.93829,0.64161,0.9811,0.46191,0.98709,6.9508e-05,6.9508e-05,6.9508e-05
156,3892.75,0.75265,0.43069,0.91478,0.94397,0.89344,0.93744,0.64308,0.97942,0.4627,0.98753,6.931e-05,6.931e-05,6.931e-05
157,3917.67,0.7551,0.42628,0.91084,0.94763,0.89138,0.93695,0.64331,0.97665,0.46262,0.98473,6.9112e-05,6.9112e-05,6.9112e-05
158,3942.62,0.74125,0.4205,0.90594,0.95356,0.89137,0.93801,0.64537,0.97349,0.46232,0.98343,6.8914e-05,6.8914e-05,6.8914e-05
159,3967.61,0.75668,0.42447,0.9136,0.95258,0.88724,0.93774,0.64386,0.97587,0.46388,0.98513,6.8716e-05,6.8716e-05,6.8716e-05
160,3992.46,0.7477,0.42103,0.90863,0.94904,0.89038,0.93708,0.64277,0.97888,0.46361,0.98598,6.8518e-05,6.8518e-05,6.8518e-05
161,4017.3,0.74983,0.42232,0.91215,0.94726,0.88893,0.93604,0.64095,0.98122,0.46388,0.98612,6.832e-05,6.832e-05,6.832e-05
162,4042.09,0.7404,0.42376,0.91294,0.94616,0.89524,0.93615,0.64139,0.98155,0.46489,0.98576,6.8122e-05,6.8122e-05,6.8122e-05
163,4066.87,0.74713,0.42432,0.9088,0.94988,0.89411,0.93715,0.64266,0.97955,0.46235,0.98471,6.7924e-05,6.7924e-05,6.7924e-05
164,4091.69,0.74535,0.42532,0.90774,0.94188,0.89786,0.93763,0.6428,0.97891,0.46313,0.98434,6.7726e-05,6.7726e-05,6.7726e-05
165,4116.53,0.74695,0.42507,0.91126,0.94108,0.89689,0.93723,0.64281,0.97898,0.46663,0.9826,6.7528e-05,6.7528e-05,6.7528e-05
166,4141.37,0.74474,0.42188,0.91017,0.95196,0.89614,0.93897,0.64198,0.97956,0.46491,0.98249,6.733e-05,6.733e-05,6.733e-05
